X1	Y1	X2	Y2	X3	Y3	
483.03	-6957.78	0.01	-0.03	3582.22	5250.12	
485.02	-6957.43	0.01	-0.03	3580.37	5250.98	
487.00	-6957.08	0.01	-0.03	3578.52	5251.85	
488.99	-6956.73	0.01	-0.03	3576.67	5252.71	
490.98	-6956.38	0.01	-0.03	3574.82	5253.57	
492.97	-6956.03	0.01	-0.03	3572.96	5254.42	
494.95	-6955.67	0.01	-0.03	3571.11	5255.28	
496.94	-6955.31	0.01	-0.03	3569.26	5256.14	
498.93	-6954.96	0.01	-0.03	3567.40	5256.99	
500.92	-6954.60	0.01	-0.03	3565.54	5257.84	
502.90	-6954.23	0.01	-0.03	3563.69	5258.69	
504.89	-6953.87	0.01	-0.03	3561.83	5259.54	
506.88	-6953.51	0.01	-0.03	3559.97	5260.39	
508.86	-6953.14	0.01	-0.03	3558.11	5261.24	
510.85	-6952.77	0.01	-0.03	3556.25	5262.08	
512.84	-6952.41	0.01	-0.03	3554.38	5262.92	
514.82	-6952.04	0.01	-0.03	3552.52	5263.77	
516.81	-6951.66	0.01	-0.03	3550.66	5264.61	
518.80	-6951.29	0.01	-0.03	3548.79	5265.45	
520.78	-6950.92	0.01	-0.03	3546.93	5266.29	
522.77	-6950.54	0.01	-0.03	3545.06	5267.12	
524.75	-6950.16	0.01	-0.03	3543.19	5267.96	
526.74	-6949.79	0.01	-0.03	3541.32	5268.79	
528.72	-6949.41	0.01	-0.03	3539.45	5269.62	
530.71	-6949.02	0.01	-0.03	3537.58	5270.45	
532.70	-6948.64	0.01	-0.03	3535.71	5271.28	
534.68	-6948.26	0.01	-0.03	3533.84	5272.11	
536.67	-6947.87	0.01	-0.03	3531.96	5272.94	
538.65	-6947.48	0.01	-0.03	3530.09	5273.76	
540.64	-6947.09	0.02	-0.03	3528.21	5274.58	
542.62	-6946.70	0.02	-0.04	3526.34	5275.41	
544.61	-6946.31	0.02	-0.04	3524.46	5276.23	
546.59	-6945.92	0.02	-0.04	3522.58	5277.05	
548.57	-6945.53	0.02	-0.04	3520.70	5277.86	
550.56	-6945.13	0.02	-0.04	3518.82	5278.68	
552.54	-6944.73	0.02	-0.04	3516.94	5279.50	
554.53	-6944.33	0.02	-0.04	3515.05	5280.31	
556.51	-6943.93	0.02	-0.04	3513.17	5281.12	
558.50	-6943.53	0.02	-0.04	3511.29	5281.93	
560.48	-6943.13	0.02	-0.04	3509.40	5282.74	
562.46	-6942.72	0.02	-0.04	3507.52	5283.55	
564.45	-6942.32	0.02	-0.04	3505.63	5284.35	
566.43	-6941.91	0.02	-0.04	3503.74	5285.16	
568.41	-6941.50	0.02	-0.04	3501.85	5285.96	
570.40	-6941.09	0.02	-0.04	3499.96	5286.76	
572.38	-6940.68	0.02	-0.04	3498.07	5287.56	
574.36	-6940.27	0.02	-0.04	3496.18	5288.36	
576.35	-6939.85	0.02	-0.04	3494.28	5289.16	
578.33	-6939.44	0.02	-0.04	3492.39	5289.96	
580.31	-6939.02	0.02	-0.04	3490.49	5290.75	
582.29	-6938.60	0.02	-0.04	3488.60	5291.54	
584.28	-6938.18	0.02	-0.04	3486.70	5292.33	
586.26	-6937.76	0.02	-0.04	3484.80	5293.12	
588.24	-6937.33	0.02	-0.04	3482.90	5293.91	
590.22	-6936.91	0.02	-0.04	3481.01	5294.70	
592.20	-6936.48	0.02	-0.04	3479.10	5295.49	
594.19	-6936.06	0.02	-0.04	3477.20	5296.27	
596.17	-6935.63	0.02	-0.04	3475.30	5297.05	
598.15	-6935.20	0.02	-0.04	3473.40	5297.83	
600.13	-6934.76	0.02	-0.04	3471.49	5298.61	
602.11	-6934.33	0.02	-0.04	3469.59	5299.39	
604.09	-6933.90	0.02	-0.04	3467.68	5300.17	
606.07	-6933.46	0.02	-0.04	3465.77	5300.95	
608.05	-6933.02	0.02	-0.04	3463.86	5301.72	
610.03	-6932.58	0.02	-0.04	3461.95	5302.49	
612.02	-6932.14	0.02	-0.04	3460.04	5303.26	
614.00	-6931.70	0.02	-0.04	3458.13	5304.03	
615.98	-6931.26	0.02	-0.05	3456.22	5304.80	
617.96	-6930.81	0.02	-0.05	3454.31	5305.57	
619.94	-6930.37	0.02	-0.05	3452.39	5306.33	
621.92	-6929.92	0.02	-0.05	3450.48	5307.10	
623.90	-6929.47	0.02	-0.05	3448.56	5307.86	
625.88	-6929.02	0.02	-0.05	3446.64	5308.62	
627.86	-6928.57	0.02	-0.05	3444.73	5309.38	
629.84	-6928.11	0.02	-0.05	3442.81	5310.14	
631.81	-6927.66	0.02	-0.05	3440.89	5310.89	
633.79	-6927.20	0.02	-0.05	3438.97	5311.65	
635.77	-6926.75	0.02	-0.05	3437.05	5312.40	
637.75	-6926.29	0.02	-0.05	3435.12	5313.15	
639.73	-6925.83	0.02	-0.05	3433.20	5313.91	
641.71	-6925.36	0.02	-0.05	3431.27	5314.65	
643.69	-6924.90	0.02	-0.05	3429.35	5315.40	
645.67	-6924.43	0.02	-0.05	3427.42	5316.15	
647.64	-6923.97	0.02	-0.05	3425.50	5316.89	
649.62	-6923.50	0.02	-0.05	3423.57	5317.64	
651.60	-6923.03	0.02	-0.05	3421.64	5318.38	
653.58	-6922.56	0.02	-0.05	3419.71	5319.12	
655.56	-6922.09	0.02	-0.05	3417.78	5319.86	
657.53	-6921.61	0.02	-0.05	3415.84	5320.59	
659.51	-6921.14	0.02	-0.05	3413.91	5321.33	
661.49	-6920.66	0.02	-0.05	3411.98	5322.07	
663.47	-6920.19	0.02	-0.05	3410.04	5322.80	
665.44	-6919.71	0.02	-0.05	3408.11	5323.53	
667.42	-6919.22	0.02	-0.05	3406.17	5324.26	
669.40	-6918.74	0.02	-0.05	3404.23	5324.99	
671.37	-6918.26	0.02	-0.05	3402.29	5325.72	
673.35	-6917.77	0.02	-0.05	3400.35	5326.44	
675.33	-6917.29	0.02	-0.05	3398.41	5327.16	
677.30	-6916.80	0.02	-0.05	3396.47	5327.89	
679.28	-6916.31	0.02	-0.05	3394.53	5328.61	
681.25	-6915.82	0.02	-0.06	3392.58	5329.33	
683.23	-6915.33	0.02	-0.06	3390.64	5330.05	
685.21	-6914.83	0.02	-0.06	3388.69	5330.76	
687.18	-6914.34	0.02	-0.06	3386.75	5331.48	
689.16	-6913.84	0.02	-0.06	3384.80	5332.19	
691.13	-6913.34	0.02	-0.06	3382.85	5332.90	
