X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	
0.00	-0.00	-4980.36	-277.64	4980.36	277.64	277.64	-4980.36	-277.64	4980.36	
0.00	-0.00	-4980.08	-279.63	4980.08	279.63	279.63	-4980.08	-279.63	4980.08	
0.00	-0.00	-4979.80	-281.62	4979.80	281.62	281.62	-4979.80	-281.62	4979.80	
0.00	-0.00	-4979.51	-283.61	4979.51	283.61	283.61	-4979.51	-283.61	4979.51	
0.00	-0.00	-4979.23	-285.60	4979.23	285.60	285.60	-4979.23	-285.60	4979.23	
0.00	-0.00	-4978.94	-287.60	4978.94	287.60	287.60	-4978.94	-287.60	4978.94	
0.00	-0.00	-4978.64	-289.59	4978.64	289.59	289.59	-4978.64	-289.59	4978.64	
0.00	-0.00	-4978.35	-291.58	4978.35	291.58	291.58	-4978.35	-291.58	4978.35	
0.00	-0.00	-4978.05	-293.57	4978.05	293.57	293.57	-4978.05	-293.57	4978.05	
0.00	-0.00	-4977.76	-295.56	4977.76	295.56	295.56	-4977.76	-295.56	4977.76	
0.00	-0.00	-4977.46	-297.55	4977.46	297.55	297.55	-4977.46	-297.55	4977.46	
0.00	-0.00	-4977.15	-299.54	4977.15	299.54	299.54	-4977.15	-299.54	4977.15	
0.00	-0.00	-4976.85	-301.53	4976.85	301.53	301.53	-4976.85	-301.53	4976.85	
0.00	-0.00	-4976.55	-303.53	4976.55	303.53	303.53	-4976.55	-303.53	4976.55	
0.00	-0.00	-4976.24	-305.52	4976.24	305.52	305.52	-4976.24	-305.52	4976.24	
0.00	-0.00	-4975.93	-307.51	4975.93	307.51	307.51	-4975.93	-307.51	4975.93	
0.00	-0.00	-4975.62	-309.50	4975.62	309.50	309.50	-4975.62	-309.50	4975.62	
0.00	-0.00	-4975.30	-311.49	4975.30	311.49	311.49	-4975.30	-311.49	4975.30	
0.00	-0.00	-4974.99	-313.48	4974.99	313.48	313.48	-4974.99	-313.48	4974.99	
0.00	-0.00	-4974.67	-315.47	4974.67	315.47	315.47	-4974.67	-315.47	4974.67	
0.00	-0.00	-4974.35	-317.46	4974.35	317.46	317.46	-4974.35	-317.46	4974.35	
0.00	-0.00	-4974.03	-319.45	4974.03	319.45	319.45	-4974.03	-319.45	4974.03	
0.00	-0.00	-4973.70	-321.44	4973.70	321.44	321.44	-4973.70	-321.44	4973.70	
0.00	-0.00	-4973.38	-323.43	4973.38	323.43	323.43	-4973.38	-323.43	4973.38	
0.00	-0.00	-4973.05	-325.42	4973.05	325.42	325.42	-4973.05	-325.42	4973.05	
0.00	-0.00	-4972.72	-327.40	4972.72	327.40	327.40	-4972.72	-327.40	4972.72	
0.00	-0.00	-4972.39	-329.39	4972.39	329.39	329.39	-4972.39	-329.39	4972.39	
0.00	-0.00	-4972.05	-331.38	4972.05	331.38	331.38	-4972.05	-331.38	4972.05	
0.00	-0.00	-4971.72	-333.37	4971.72	333.37	333.37	-4971.72	-333.37	4971.72	
0.00	-0.00	-4971.38	-335.36	4971.38	335.36	335.36	-4971.38	-335.36	4971.38	
0.00	-0.00	-4971.04	-337.35	4971.04	337.35	337.35	-4971.04	-337.35	4971.04	
0.00	-0.00	-4970.70	-339.34	4970.70	339.34	339.34	-4970.70	-339.34	4970.70	
0.00	-0.00	-4970.35	-341.32	4970.35	341.32	341.32	-4970.35	-341.32	4970.35	
0.00	-0.00	-4970.01	-343.31	4970.01	343.31	343.31	-4970.01	-343.31	4970.01	
0.00	-0.00	-4969.66	-345.30	4969.66	345.30	345.30	-4969.66	-345.30	4969.66	
0.00	-0.00	-4969.31	-347.29	4969.31	347.29	347.29	-4969.31	-347.29	4969.31	
0.00	-0.00	-4968.96	-349.28	4968.96	349.28	349.28	-4968.96	-349.28	4968.96	
0.00	-0.00	-4968.60	-351.26	4968.60	351.26	351.26	-4968.60	-351.26	4968.60	
0.00	-0.00	-4968.25	-353.25	4968.25	353.25	353.25	-4968.25	-353.25	4968.25	
0.00	-0.00	-4967.89	-355.24	4967.89	355.24	355.24	-4967.89	-355.24	4967.89	
0.00	-0.00	-4967.53	-357.23	4967.53	357.23	357.23	-4967.53	-357.23	4967.53	
0.00	-0.00	-4967.17	-359.21	4967.17	359.21	359.21	-4967.17	-359.21	4967.17	
0.00	-0.00	-4966.80	-361.20	4966.80	361.20	361.20	-4966.80	-361.20	4966.80	
0.00	-0.00	-4966.44	-363.19	4966.44	363.19	363.19	-4966.44	-363.19	4966.44	
0.00	-0.00	-4966.07	-365.17	4966.07	365.17	365.17	-4966.07	-365.17	4966.07	
0.00	-0.00	-4965.70	-367.16	4965.70	367.16	367.16	-4965.70	-367.16	4965.70	
0.00	-0.00	-4965.33	-369.15	4965.33	369.15	369.15	-4965.33	-369.15	4965.33	
0.00	-0.00	-4964.95	-371.13	4964.95	371.13	371.13	-4964.95	-371.13	4964.95	
0.00	-0.00	-4964.57	-373.12	4964.57	373.12	373.12	-4964.57	-373.12	4964.57	
0.00	-0.00	-4964.20	-375.10	4964.20	375.10	375.10	-4964.20	-375.10	4964.20	
0.00	-0.00	-4963.82	-377.09	4963.82	377.09	377.09	-4963.82	-377.09	4963.82	
0.00	-0.00	-4963.43	-379.07	4963.43	379.07	379.07	-4963.43	-379.07	4963.43	
0.00	-0.00	-4963.05	-381.06	4963.05	381.06	381.06	-4963.05	-381.06	4963.05	
0.00	-0.00	-4962.66	-383.04	4962.66	383.04	383.04	-4962.66	-383.04	4962.66	
0.00	-0.00	-4962.28	-385.03	4962.28	385.03	385.03	-4962.28	-385.03	4962.28	
0.00	-0.00	-4961.88	-387.01	4961.88	387.01	387.01	-4961.88	-387.01	4961.88	
